scenario_idx,profile_name,replicate,unsafe_base_rate,auditability_noise,evidence_regime,drift_regime,unsafe_detection_rate,safe_throughput,false_negative_harm,mean_harm_approved,n_approved,n_rejected,tp,fn,tn,fp,precision,recall,mean_total_friction,total_system_friction
0,permissive,0,0.1,0.05,mixed,medium,0.936,0.5048888888888889,57.65724576831455,0.30859228265094923,4608,5392,936,64,4544,4456,0.17359050445103857,0.936,3.598686232969479,35986.86232969479
0,permissive,1,0.1,0.05,mixed,medium,0.952,0.492,43.39607914108089,0.31048315663100423,4476,5524,952,48,4428,4572,0.1723388848660391,0.952,3.6117460756742688,36117.46075674269
0,permissive,2,0.1,0.05,mixed,medium,0.932,0.4958888888888889,58.89157203766352,0.3055222392859563,4531,5469,932,68,4463,4537,0.1704150667398062,0.932,3.603442684622214,36034.42684622214
0,permissive,3,0.1,0.05,mixed,medium,0.944,0.4918888888888889,48.35639316679459,0.30490746400627433,4483,5517,944,56,4427,4573,0.17110748595251044,0.944,3.6089848164013443,36089.84816401344
0,permissive,4,0.1,0.05,mixed,medium,0.938,0.48933333333333334,56.55243226917055,0.3096185355751478,4466,5534,938,62,4404,4596,0.1694976508854355,0.938,3.609677861047703,36096.77861047703
0,moderate,0,0.1,0.05,mixed,medium,1.0,0.19088888888888889,0.0,0.22031890866054757,1718,8282,1000,0,1718,7282,0.12074378169524269,1.0,3.757248663226959,37572.48663226959
0,moderate,1,0.1,0.05,mixed,medium,1.0,0.18622222222222223,0.0,0.21961258480113074,1676,8324,1000,0,1676,7324,0.12013455069678039,1.0,3.768740748305811,37687.40748305811
0,moderate,2,0.1,0.05,mixed,medium,1.0,0.18977777777777777,0.0,0.21371185010509144,1708,8292,1000,0,1708,7292,0.120598166907863,1.0,3.7615616446338667,37615.61644633867
0,moderate,3,0.1,0.05,mixed,medium,1.0,0.19477777777777777,0.0,0.21155483775526443,1753,8247,1000,0,1753,7247,0.12125621438098702,1.0,3.7631653958855904,37631.6539588559
0,moderate,4,0.1,0.05,mixed,medium,1.0,0.1968888888888889,0.0,0.2177358386127791,1772,8228,1000,0,1772,7228,0.12153621779290229,1.0,3.7599066871517692,37599.066871517694
0,strict,0,0.1,0.05,mixed,medium,1.0,0.022222222222222223,0.0,0.13294497197968114,200,9800,1000,0,200,8800,0.10204081632653061,1.0,3.9530720946687996,39530.720946687994
0,strict,1,0.1,0.05,mixed,medium,1.0,0.02,0.0,0.13000453409052434,180,9820,1000,0,180,8820,0.10183299389002037,1.0,3.945482790706502,39454.827907065024
0,strict,2,0.1,0.05,mixed,medium,1.0,0.01888888888888889,0.0,0.1294786007392656,170,9830,1000,0,170,8830,0.1017293997965412,1.0,3.9512245643348813,39512.24564334881
0,strict,3,0.1,0.05,mixed,medium,1.0,0.022444444444444444,0.0,0.13137251985787096,202,9798,1000,0,202,8798,0.10206164523372117,1.0,3.9486639738506653,39486.63973850665
0,strict,4,0.1,0.05,mixed,medium,1.0,0.022444444444444444,0.0,0.1265574502953064,202,9798,1000,0,202,8798,0.10206164523372117,1.0,3.948538626290335,39485.38626290335
0,very_strict,0,0.1,0.05,mixed,medium,1.0,0.004111111111111111,0.0,0.10123102769929292,37,9963,1000,0,37,8963,0.10037137408411122,1.0,4.029107221864555,40291.07221864555
0,very_strict,1,0.1,0.05,mixed,medium,1.0,0.0028888888888888888,0.0,0.11815919819195991,26,9974,1000,0,26,8974,0.10026067776218167,1.0,4.024542832379025,40245.42832379025
0,very_strict,2,0.1,0.05,mixed,medium,1.0,0.002777777777777778,0.0,0.10165416485021622,25,9975,1000,0,25,8975,0.10025062656641603,1.0,4.0346409927187095,40346.409927187095
0,very_strict,3,0.1,0.05,mixed,medium,1.0,0.004,0.0,0.10369396138402136,36,9964,1000,0,36,8964,0.10036130068245684,1.0,4.030512691367295,40305.126913672946
0,very_strict,4,0.1,0.05,mixed,medium,1.0,0.0026666666666666666,0.0,0.09526563596848327,24,9976,1000,0,24,8976,0.10024057738572574,1.0,4.027430104222553,40274.30104222553
1,permissive,0,0.2,0.05,mixed,medium,0.8445,0.521875,231.54837230512769,0.30617705897304914,4486,5514,1689,311,4175,3825,0.3063112078346028,0.8445,3.612569822312238,36125.69822312238
1,permissive,1,0.2,0.05,mixed,medium,0.86,0.521125,212.8111507089793,0.3090470713450755,4449,5551,1720,280,4169,3831,0.30985408034588363,0.86,3.608059466724432,36080.59466724432
1,permissive,2,0.2,0.05,mixed,medium,0.8375,0.526125,242.71833782114336,0.3100221437315941,4534,5466,1675,325,4209,3791,0.30643980973289425,0.8375,3.6051813448285435,36051.81344828544
1,permissive,3,0.2,0.05,mixed,medium,0.827,0.521375,249.370773359044,0.3072312299559038,4517,5483,1654,346,4171,3829,0.30165967536020427,0.827,3.610601905054043,36106.01905054043
1,permissive,4,0.2,0.05,mixed,medium,0.851,0.5095,221.46056202114767,0.30789766173437266,4374,5626,1702,298,4076,3924,0.3025239957340917,0.851,3.6133110709157497,36133.110709157496
1,moderate,0,0.2,0.05,mixed,medium,0.998,0.20725,2.616564765254926,0.21318167584671463,1662,8338,1996,4,1658,6342,0.239385943871432,0.998,3.766121579136205,37661.21579136205
1,moderate,1,0.2,0.05,mixed,medium,0.9995,0.21575,0.9113424037814761,0.20966056468630068,1727,8273,1999,1,1726,6274,0.24162939683307144,0.9995,3.763618541690096,37636.18541690096
1,moderate,2,0.2,0.05,mixed,medium,0.999,0.2155,1.2479625826287029,0.21641109134420045,1726,8274,1998,2,1724,6276,0.24147933284989123,0.999,3.760097085427821,37600.97085427821
1,moderate,3,0.2,0.05,mixed,medium,0.998,0.210875,2.9100697260175883,0.21985281858738284,1691,8309,1996,4,1687,6313,0.2402214466241425,0.998,3.7602141949511823,37602.141949511824
1,moderate,4,0.2,0.05,mixed,medium,0.999,0.21375,1.1720890940147317,0.20932527311879212,1712,8288,1998,2,1710,6290,0.24107142857142858,0.999,3.7667980607891813,37667.98060789181
1,strict,0,0.2,0.05,mixed,medium,1.0,0.025375,0.0,0.12622271991711986,203,9797,2000,0,203,7797,0.20414412575278146,1.0,3.9534917273560044,39534.917273560044
1,strict,1,0.2,0.05,mixed,medium,1.0,0.023,0.0,0.1327668300338589,184,9816,2000,0,184,7816,0.20374898125509372,1.0,3.9453872402246692,39453.87240224669
1,strict,2,0.2,0.05,mixed,medium,1.0,0.02525,0.0,0.13291833459377408,202,9798,2000,0,202,7798,0.20412329046744235,1.0,3.9515617051797776,39515.61705179777
1,strict,3,0.2,0.05,mixed,medium,1.0,0.02425,0.0,0.13319710726299,194,9806,2000,0,194,7806,0.20395676116663267,1.0,3.9435542189460246,39435.54218946025
1,strict,4,0.2,0.05,mixed,medium,1.0,0.0195,0.0,0.13450886692414413,156,9844,2000,0,156,7844,0.2031694433157253,1.0,3.9534357819946337,39534.35781994634
1,very_strict,0,0.2,0.05,mixed,medium,1.0,0.003125,0.0,0.11293271292468386,25,9975,2000,0,25,7975,0.20050125313283207,1.0,4.024229296716999,40242.29296716999
1,very_strict,1,0.2,0.05,mixed,medium,1.0,0.0025,0.0,0.09658743890591638,20,9980,2000,0,20,7980,0.20040080160320642,1.0,4.030257705657794,40302.57705657794
1,very_strict,2,0.2,0.05,mixed,medium,1.0,0.003,0.0,0.09819809488153708,24,9976,2000,0,24,7976,0.20048115477145148,1.0,4.0312320365941,40312.32036594101
1,very_strict,3,0.2,0.05,mixed,medium,1.0,0.00525,0.0,0.09615827690318388,42,9958,2000,0,42,7958,0.2008435428800964,1.0,4.022538019328239,40225.38019328239
1,very_strict,4,0.2,0.05,mixed,medium,1.0,0.005375,0.0,0.0867840320686319,43,9957,2000,0,43,7957,0.2008637139700713,1.0,4.021598410018473,40215.98410018473
2,permissive,0,0.3,0.05,mixed,medium,0.77,0.545,451.47775024208613,0.3068301265274302,4505,5495,2310,690,3815,3185,0.42038216560509556,0.77,3.6055931103952163,36055.93110395216
2,permissive,1,0.3,0.05,mixed,medium,0.7603333333333333,0.5477142857142857,471.2034276388732,0.31149031696564905,4553,5447,2281,719,3834,3166,0.41876262162658345,0.7603333333333333,3.608158667555025,36081.58667555025
2,permissive,2,0.3,0.05,mixed,medium,0.7706666666666667,0.5542857142857143,448.8223558902072,0.30250931704278783,4568,5432,2312,688,3880,3120,0.4256259204712813,0.7706666666666667,3.604865879699355,36048.65879699355
2,permissive,3,0.3,0.05,mixed,medium,0.768,0.5477142857142857,451.72701618627354,0.30835129764101193,4530,5470,2304,696,3834,3166,0.4212065813528336,0.768,3.603294347859818,36032.94347859818
2,permissive,4,0.3,0.05,mixed,medium,0.7656666666666667,0.5418571428571428,449.53369086064794,0.30637981982294105,4496,5504,2297,703,3793,3207,0.4173328488372093,0.7656666666666667,3.6062797976847096,36062.7979768471
2,moderate,0,0.3,0.05,mixed,medium,0.991,0.23957142857142857,15.268171259078716,0.214682514921786,1704,8296,2973,27,1677,5323,0.3583654773384764,0.991,3.763383695617826,37633.83695617826
2,moderate,1,0.3,0.05,mixed,medium,0.99,0.24185714285714285,16.451264599636865,0.21292275056596374,1723,8277,2970,30,1693,5307,0.35882566147154765,0.99,3.763574572148476,37635.74572148476
2,moderate,2,0.3,0.05,mixed,medium,0.985,0.23385714285714285,26.778292321390637,0.22029525306644615,1682,8318,2955,45,1637,5363,0.35525366674681413,0.985,3.7658472901511995,37658.472901511996
2,moderate,3,0.3,0.05,mixed,medium,0.9876666666666667,0.24585714285714286,21.396279757830637,0.21451673067500973,1758,8242,2963,37,1721,5279,0.3595001213297743,0.9876666666666667,3.7582200884052517,37582.200884052516
2,moderate,4,0.3,0.05,mixed,medium,0.9876666666666667,0.23357142857142857,20.819701505347034,0.2165122582613872,1672,8328,2963,37,1635,5365,0.3557877041306436,0.9876666666666667,3.7698793591561697,37698.7935915617
2,strict,0,0.3,0.05,mixed,medium,1.0,0.028285714285714286,0.0,0.13884402891554085,198,9802,3000,0,198,6802,0.3060599877576005,1.0,3.948645313707833,39486.45313707833
2,strict,1,0.3,0.05,mixed,medium,1.0,0.024428571428571428,0.0,0.1259045951298337,171,9829,3000,0,171,6829,0.3052192491606471,1.0,3.952434389603624,39524.34389603624
2,strict,2,0.3,0.05,mixed,medium,1.0,0.026285714285714287,0.0,0.12819818567802982,184,9816,3000,0,184,6816,0.3056234718826406,1.0,3.9441720907341855,39441.720907341856
2,strict,3,0.3,0.05,mixed,medium,1.0,0.025714285714285714,0.0,0.12810007346685,180,9820,3000,0,180,6820,0.3054989816700611,1.0,3.9600489754768553,39600.489754768554
2,strict,4,0.3,0.05,mixed,medium,1.0,0.027285714285714285,0.0,0.1302250187493441,191,9809,3000,0,191,6809,0.3058415740646345,1.0,3.94935147968166,39493.5147968166
2,very_strict,0,0.3,0.05,mixed,medium,1.0,0.005142857142857143,0.0,0.11283292444745989,36,9964,3000,0,36,6964,0.3010839020473705,1.0,4.035168897379479,40351.688973794786
2,very_strict,1,0.3,0.05,mixed,medium,1.0,0.004142857142857143,0.0,0.1143512722921978,29,9971,3000,0,29,6971,0.3008725303379801,1.0,4.025526341654556,40255.26341654556
2,very_strict,2,0.3,0.05,mixed,medium,1.0,0.004285714285714286,0.0,0.09914072904951308,30,9970,3000,0,30,6970,0.30090270812437314,1.0,4.01963532258107,40196.3532258107
2,very_strict,3,0.3,0.05,mixed,medium,1.0,0.005571428571428572,0.0,0.10126672509849534,39,9961,3000,0,39,6961,0.30117458086537496,1.0,4.027921160148735,40279.21160148735
2,very_strict,4,0.3,0.05,mixed,medium,1.0,0.003285714285714286,0.0,0.10506464622623474,23,9977,3000,0,23,6977,0.3006915906585146,1.0,4.031178011142265,40311.780111422646
3,permissive,0,0.2,0.02,artefact-heavy,low,0.8235,0.54225,254.25632750192864,0.3093887921216973,4691,5309,1647,353,4338,3662,0.3102279148615559,0.8235,3.600144057437103,36001.44057437103
3,permissive,1,0.2,0.02,artefact-heavy,low,0.837,0.53475,240.65542967018555,0.3054544226578084,4604,5396,1674,326,4278,3722,0.31022979985174204,0.837,3.611077688719104,36110.77688719104
3,permissive,2,0.2,0.02,artefact-heavy,low,0.825,0.551375,262.9215077309266,0.3082292894554975,4761,5239,1650,350,4411,3589,0.3149456003054018,0.825,3.5968830769475617,35968.830769475615
3,permissive,3,0.2,0.02,artefact-heavy,low,0.83,0.53825,243.6401361332904,0.3068805241618247,4646,5354,1660,340,4306,3694,0.3100485618229361,0.83,3.605261543377806,36052.61543377806
3,permissive,4,0.2,0.02,artefact-heavy,low,0.8425,0.546,228.5117832396773,0.30625813456870427,4683,5317,1685,315,4368,3632,0.3169080308444612,0.8425,3.601058268300914,36010.58268300914
3,moderate,0,0.2,0.02,artefact-heavy,low,0.9995,0.219125,0.7553173330062688,0.22119939002908365,1754,8246,1999,1,1753,6247,0.242420567547902,0.9995,3.768199943976261,37681.99943976261
3,moderate,1,0.2,0.02,artefact-heavy,low,1.0,0.2115,0.0,0.20952428655627003,1692,8308,2000,0,1692,6308,0.2407318247472316,1.0,3.7684616940889186,37684.61694088919
3,moderate,2,0.2,0.02,artefact-heavy,low,1.0,0.22475,0.0,0.21265418975883613,1798,8202,2000,0,1798,6202,0.24384296513045597,1.0,3.7597954452958513,37597.95445295851
3,moderate,3,0.2,0.02,artefact-heavy,low,1.0,0.221125,0.0,0.21007589541247862,1769,8231,2000,0,1769,6231,0.2429838415745353,1.0,3.7613307699300966,37613.30769930097
3,moderate,4,0.2,0.02,artefact-heavy,low,1.0,0.219625,0.0,0.21454852856400697,1757,8243,2000,0,1757,6243,0.24263011039670024,1.0,3.7631670697266157,37631.670697266156
3,strict,0,0.2,0.02,artefact-heavy,low,1.0,0.02475,0.0,0.12589066102432137,198,9802,2000,0,198,7802,0.20403999183840033,1.0,3.9468548156405903,39468.5481564059
3,strict,1,0.2,0.02,artefact-heavy,low,1.0,0.025125,0.0,0.12670497438024692,201,9799,2000,0,201,7799,0.20410245943463617,1.0,3.94645721709434,39464.5721709434
3,strict,2,0.2,0.02,artefact-heavy,low,1.0,0.02625,0.0,0.13066861102823438,210,9790,2000,0,210,7790,0.20429009193054137,1.0,3.9444418480567505,39444.4184805675
3,strict,3,0.2,0.02,artefact-heavy,low,1.0,0.0245,0.0,0.129532951370535,196,9804,2000,0,196,7804,0.2039983680130559,1.0,3.94642320432218,39464.2320432218
3,strict,4,0.2,0.02,artefact-heavy,low,1.0,0.0225,0.0,0.12321781935595565,180,9820,2000,0,180,7820,0.20366598778004075,1.0,3.9566879991868853,39566.87999186885
3,very_strict,0,0.2,0.02,artefact-heavy,low,1.0,0.0035,0.0,0.10489676068755308,28,9972,2000,0,28,7972,0.20056157240272765,1.0,4.030960884704435,40309.60884704435
3,very_strict,1,0.2,0.02,artefact-heavy,low,1.0,0.005,0.0,0.0978635316528963,40,9960,2000,0,40,7960,0.20080321285140562,1.0,4.021323713463197,40213.23713463197
3,very_strict,2,0.2,0.02,artefact-heavy,low,1.0,0.004375,0.0,0.09451140943664949,35,9965,2000,0,35,7965,0.2007024586051179,1.0,4.029695174172984,40296.95174172984
3,very_strict,3,0.2,0.02,artefact-heavy,low,1.0,0.003375,0.0,0.10022924532761292,27,9973,2000,0,27,7973,0.20054146194725758,1.0,4.025793732129992,40257.93732129992
3,very_strict,4,0.2,0.02,artefact-heavy,low,1.0,0.0045,0.0,0.10083824389939118,36,9964,2000,0,36,7964,0.20072260136491368,1.0,4.030059062088711,40300.59062088711
4,permissive,0,0.2,0.1,self-report-heavy,high,0.854,0.466125,227.23780424322402,0.29987388788025277,4021,5979,1708,292,3729,4271,0.2856664994146178,0.854,3.6179900334454986,36179.900334454986
4,permissive,1,0.2,0.1,self-report-heavy,high,0.8475,0.4565,231.31732697772145,0.3063654085437366,3957,6043,1695,305,3652,4348,0.280489822935628,0.8475,3.6250124842489035,36250.12484248904
4,permissive,2,0.2,0.1,self-report-heavy,high,0.8725,0.461625,201.98620781128406,0.3067963980143641,3948,6052,1745,255,3693,4307,0.2883344348975545,0.8725,3.6249817628084244,36249.817628084245
4,permissive,3,0.2,0.1,self-report-heavy,high,0.8735,0.461,191.8533637819185,0.29941699155201473,3941,6059,1747,253,3688,4312,0.2883314078230731,0.8735,3.6310747862651347,36310.74786265135
4,permissive,4,0.2,0.1,self-report-heavy,high,0.8455,0.44625,237.35634246731541,0.3088061253906683,3879,6121,1691,309,3570,4430,0.27626204868485543,0.8455,3.6345246218266185,36345.246218266184
4,moderate,0,0.2,0.1,self-report-heavy,high,0.9925,0.180625,11.229809542388725,0.22183275761447113,1460,8540,1985,15,1445,6555,0.23243559718969556,0.9925,3.7751206647786706,37751.206647786705
4,moderate,1,0.2,0.1,self-report-heavy,high,0.9945,0.192125,7.896173093233518,0.21453474308490972,1548,8452,1989,11,1537,6463,0.2353289162328443,0.9945,3.7651042549453124,37651.04254945312
4,moderate,2,0.2,0.1,self-report-heavy,high,0.9925,0.19375,10.48366752669089,0.2211551368791776,1565,8435,1985,15,1550,6450,0.23532898636633076,0.9925,3.773881524515897,37738.81524515897
4,moderate,3,0.2,0.1,self-report-heavy,high,0.9915,0.1865,11.103256165577978,0.22219952376162067,1509,8491,1983,17,1492,6508,0.23354139677305383,0.9915,3.7701901628537104,37701.9016285371
4,moderate,4,0.2,0.1,self-report-heavy,high,0.988,0.18225,17.011024713643863,0.22115277170046654,1482,8518,1976,24,1458,6542,0.23197933787274008,0.988,3.7769217195548066,37769.217195548066
4,strict,0,0.2,0.1,self-report-heavy,high,1.0,0.020125,0.0,0.1428410066415966,161,9839,2000,0,161,7839,0.20327269031405631,1.0,3.9548874319456138,39548.87431945614
4,strict,1,0.2,0.1,self-report-heavy,high,1.0,0.0225,0.0,0.14665217771884212,180,9820,2000,0,180,7820,0.20366598778004075,1.0,3.9493901727286067,39493.901727286066
4,strict,2,0.2,0.1,self-report-heavy,high,1.0,0.021125,0.0,0.1385244585113616,169,9831,2000,0,169,7831,0.20343810395687112,1.0,3.9521849226697348,39521.84922669735
4,strict,3,0.2,0.1,self-report-heavy,high,1.0,0.020625,0.0,0.14331923340632702,165,9835,2000,0,165,7835,0.20335536349771224,1.0,3.9450374932081993,39450.37493208199
4,strict,4,0.2,0.1,self-report-heavy,high,1.0,0.021,0.0,0.14519199785228526,168,9832,2000,0,168,7832,0.20341741253051263,1.0,3.9488452888493506,39488.452888493506
4,very_strict,0,0.2,0.1,self-report-heavy,high,1.0,0.00375,0.0,0.11284597415552954,30,9970,2000,0,30,7970,0.20060180541624875,1.0,4.026061172761183,40260.611727611824
4,very_strict,1,0.2,0.1,self-report-heavy,high,1.0,0.00375,0.0,0.11830985204331278,30,9970,2000,0,30,7970,0.20060180541624875,1.0,4.028894360994599,40288.943609945985
4,very_strict,2,0.2,0.1,self-report-heavy,high,1.0,0.00225,0.0,0.11381977724872577,18,9982,2000,0,18,7982,0.2003606491685033,1.0,4.0319722702907,40319.722702907
4,very_strict,3,0.2,0.1,self-report-heavy,high,1.0,0.004375,0.0,0.12650455467674987,35,9965,2000,0,35,7965,0.2007024586051179,1.0,4.02592859653746,40259.2859653746
4,very_strict,4,0.2,0.1,self-report-heavy,high,1.0,0.003375,0.0,0.1190404192570054,27,9973,2000,0,27,7973,0.20054146194725758,1.0,4.023799315717758,40237.99315717758
